,FileName,Concentration,Probe,Temp,Tip radius_mean,Tip radius_std,ROI,InterphaseThickness,ForceSetpoint,group,Link,Farfieldcontactradius(Schwarz),Point,Z Rate,RelativeInterphaseThickness,Depth,calc_depth,k,a_hat,d_hat,thermal Q,f,k,
220,240124_20.0_HQ300_80_100_3000,20,HQ300,80,14.24666667,2.619166534,3000,1000,100,101,240124_20.0_HQ300_80_100_3000,38.83108701,128,250,25.75256263,97.07118225,89.53703108,31.053,2.753483505,4.871943994,,,,
221,240124_20.0_HQ30030_80_50_3000,20,HQ30030,80,27.23,3.907628224,3000,1000,50,101,240124_20.0_HQ30030_80_50_3000,43.17625983,128,250,23.160876,52.94459152,52.73675286,46.42,2.336645621,2.963704635,,,,
223,240124_20.0_HQ30030_80_100_3000,20,HQ30030,80,27.23,3.907628224,3000,1000,100,101,240124_20.0_HQ30030_80_100_3000,49.51853675,128,250,20.19445779,76.04634094,73.11081977,46.42,2.518295385,3.750392276,,,,
224,240203_0.0_HQ300_80_50_500_01,0,HQ300,80,13.7425,1.261758033,500,0,50,201,240203_0.0_HQ300_80_50_500_01,25.58373997,128,250,0,34.60220718,36.64074842,36.39,2.344894826,2.997921247,537.67,294860,36.389,
225,240203_0.0_HQ300_80_50_500_02,0,HQ300,80,13.7425,1.261758033,500,0,50,201,240203_0.0_HQ300_80_50_500_02,25.29366062,128,250,0,34.76342773,36.79805355,36.39,2.349591356,3.01746609,537.67,294860,36.389,
226,240203_0.0_HQ300_80_50_500_03,0,HQ300,80,13.7425,1.261758033,500,0,50,201,240203_0.0_HQ300_80_50_500_03,25.55827913,128,250,0,34.24670029,36.20974898,36.39,2.34326725,2.991158886,537.67,294860,36.389,
227,240203_0.0_HQ300_80_50_500_04,0,HQ300,80,13.7425,1.261758033,500,0,50,201,240203_0.0_HQ300_80_50_500_04,25.20408961,128,250,0,34.20061493,36.10953873,36.39,2.355480518,3.042040001,537.67,294860,36.389,
228,240203_0.0_HQ300_80_75_500_01,0,HQ300,80,13.7425,1.261758033,500,0,75,200,240203_0.0_HQ300_80_75_500_01,29.91521272,128,250,0,45.37091064,47.63413722,36.39,2.38168504,3.152272819,537.67,294860,36.389,
229,240203_0.0_HQ300_80_75_500_02,0,HQ300,80,13.7425,1.261758033,500,0,75,200,240203_0.0_HQ300_80_75_500_02,29.32219277,128,250,0,43.39893341,45.61004555,36.39,2.377140662,3.133052353,537.67,294860,36.389,
230,240203_0.0_HQ300_80_75_500_03,0,HQ300,80,13.7425,1.261758033,500,0,75,200,240203_0.0_HQ300_80_75_500_03,28.53427361,128,250,0,41.3722229,43.37574074,36.39,2.388397507,3.180742984,537.67,294860,36.389,
231,240203_0.0_HQ300_80_75_500_04,0,HQ300,80,13.7425,1.261758033,500,0,75,200,240203_0.0_HQ300_80_75_500_04,28.58129912,128,250,0,41.18961334,43.21383244,36.39,2.385098164,3.166737312,537.67,294860,36.389,
232,240203_0.0_HQ300_80_100_500_01,0,HQ300,80,13.7425,1.261758033,500,0,100,201,240203_0.0_HQ300_80_100_500_01,32.01645898,128,250,0,59.46116638,61.90901092,36.39,2.423099927,3.329445554,537.67,294860,36.389,
233,240203_0.0_HQ300_80_100_500_02,0,HQ300,80,13.7425,1.261758033,500,0,100,201,240203_0.0_HQ300_80_100_500_02,31.87758969,128,250,0,59.08358765,61.47440761,36.39,2.426943222,3.346070583,537.67,294860,36.389,
234,240203_0.0_HQ300_80_100_500_03,0,HQ300,80,13.7425,1.261758033,500,0,100,201,240203_0.0_HQ300_80_100_500_03,31.4041932,128,250,0,57.42086792,59.78075893,36.39,2.423347648,3.330516186,537.67,294860,36.389,
235,240203_0.0_HQ300_80_100_500_04,0,HQ300,80,13.7425,1.261758033,500,0,100,201,240203_0.0_HQ300_80_100_500_04,30.98574933,128,250,0,56.18737793,58.493118,36.39,2.423248947,3.33008959,537.67,294860,36.389,
236,240203_0.0_HQ30030_80_50_500_01,0,HQ30030,80,32.245,5.39663707,500,0,50,201,240203_0.0_HQ30030_80_50_500_01,55.65825438,128,250,0,35.66336823,38.36777892,40.71,2.139263052,2.187994718,489.44,351940,40.71,
237,240203_0.0_HQ30030_80_50_500_02,0,HQ30030,80,32.245,5.39663707,500,0,50,201,240203_0.0_HQ30030_80_50_500_02,46.55910808,128,250,0,35.67131805,38.37550257,40.71,2.291621236,2.779486229,489.44,351940,40.71,
238,240203_0.0_HQ30030_80_50_500_03,0,HQ30030,80,32.245,5.39663707,500,0,50,201,240203_0.0_HQ30030_80_50_500_03,48.01259368,128,250,0,33.14474487,31.76108662,40.71,2.246880997,2.600682829,489.44,351940,40.71,
240,240203_0.0_HQ30030_80_75_500_01,0,HQ30030,80,32.245,5.39663707,500,0,75,200,240203_0.0_HQ30030_80_75_500_01,52.64046031,128,250,0,37.35584259,39.76619615,40.71,2.324467309,2.913453612,489.44,351940,40.71,
241,240203_0.0_HQ30030_80_75_500_02,0,HQ30030,80,32.245,5.39663707,500,0,75,200,240203_0.0_HQ30030_80_75_500_02,51.59152561,128,250,0,35.90272141,38.17203925,40.71,2.330387738,2.937843736,489.44,351940,40.71,
242,240203_0.0_HQ30030_80_75_500_03,0,HQ30030,80,32.245,5.39663707,500,0,75,200,240203_0.0_HQ30030_80_75_500_03,50.98990052,128,250,0,35.24294281,37.26854133,40.71,2.348403335,3.012517674,489.44,351940,40.71,
243,240203_0.0_HQ30030_80_75_500_04,0,HQ30030,80,32.245,5.39663707,500,0,75,200,240203_0.0_HQ30030_80_75_500_04,,128,250,,36.24658966,38.45684831,40.71,2.334775828,2.955968982,489.44,351940,40.71,
